name,singer,lyric
Điệp Khúc Mùa Xuân,Nguyễn Phi Hùng,Nắng chiếu lung linh muôn hoa vàng. Chở tia nắng về trong ánh mùa sang. Gió mãi mơn man trên đóa môi hồng. Người em yêu tìm quên. Trong cuộc sống. Bướm vẫn tung tăng bay la đà. Mặt trời mây buồn nhẹ trôi thiết tha. Ánh mắt mơ trông nơi xa vời. Chở mùa Xuân đến đem nguồn vui. Rừng Xuân ơi xin lặng gió heo may. Để chim muông quay về. Với muôn cây. Tình Xuân ơi xin dệt mối yêu thương. Dù bao nhiêu năm. Tình sầu muôn hướng. Này gió hãy cuốn từng lá rơi. Và nắng hãy chiếu màu thắm tươi. Cùng những tiếng hát. Điệu nhạc dâng chơi vơi. Dìu hồn ta say trong tiếng cười. Nắng chiếu lung linh muôn hoa vàng. Chở tia nắng về trong ánh mùa sang. Gió mãi mơn man trên đóa môi hồng. Người em yêu. Tìm quên trong cuộc sống. Bướm vẫn tung tăng bay la đà. Mặt trời mây buồn nhẹ trôi thiết tha. Ánh mắt mơ trông nơi xa vời. Chở mùa Xuân đến đem nguồn vui. Rừng Xuân ơi xin lặng gió heo may. Để chim muông quay về. Với muôn cây. Tình Xuân ơi xin dệt mối yêu thương. Dù bao nhiêu năm. Tình sầu muôn hướng. Này gió hãy cuốn từng lá rơi. Và nắng hãy chiếu màu thắm tươi. Cùng những tiếng hát. Điệu nhạc dâng chơi vơi. Dìu hồn ta say trong tiếng cười. Nắng chiếu lung linh muôn hoa vàng. Chở tia nắng về trong ánh mùa sang. Gió mãi mơn man trên đóa môi hồng. Người em yêu. Tìm quên trong cuộc sống. Bướm vẫn tung tăng bay la đà. Mặt trời mây buồn nhẹ trôi thiết tha. Ánh mắt mơ trông nơi xa vời. Chở mùa Xuân đến đem nguồn vui. Ánh mắt mơ trông nơi xa vời. Chở mùa Xuân đến đem nguồn vui. Ánh mắt mơ trông nơi xa vời. Chở mùa Xuân đến đem nguồn vui
Anh Cho Em Mùa Xuân,Dương Hồng Loan,Anh cho em mùa xuân. Nụ hoa vàng mới nở. Chiều đông nào nhung nhớ. Đường lao xao lá đầy. Chân bước mòn hè phố. Mắt buồn vin ngọn cây. Anh cho em mùa xuân. Mùa xuân này tất cả. Lộc non vừa trẩy lá. Lời thơ thương cõi đời. Bầy chim lùa vạt nắng. Trong khói chiều chơi vơi. Đất mẹ đầy cỏ lúa. Đồng xanh xa mấy mùa. Ngoài đê diều căng gió. Thoảng câu hò đôi lứa. Trong xóm vang chuông chùa. Trăng sáng soi liếp dừa. Con sông dài mấy nhánh. Cát trắng bờ quê xưa. Anh cho em mùa xuân. Trẻ nô đùa khắp trời. Niềm yêu đời phơi phới. Bàn tay thơm sữa ngọt. Dãy đất hiền chim hót. Mái nhà xinh kề nhau. Anh cho em mùa xuân. Đường hoa vào phố nhỏ. Nhạc chan hòa đây đó. Tình yêu non nước này. Bài thơ còn xao xuyến. Rung nắng vàng ban mai. Anh cho em mùa xuân. Nụ hoa vàng mới nở. Chiều đông nào nhung nhớ. Đường lao xao lá đầy. Chân bước mòn hè phố. Mắt buồn vin ngọn cây. Anh cho em mùa xuân. Mùa xuân này tất cả. Lộc non vừa trẩy lá. Lời thơ thương cõi đời. Bầy chim lùa vạt nắng. Trong khói chiều chơi vơi. Đất mẹ đầy cỏ lúa. Đồng xanh xa mấy mùa. Ngoài đê diều căng gió. Thoảng câu hò đôi lứa. Trong xóm vang chuông chùa. Trăng sáng soi liếp dừa. Con sông dài mấy nhánh. Cát trắng bờ quê xưa. Anh cho em mùa xuân. Trẻ nô đùa khắp trời. Niềm yêu đời phơi phới. Bàn tay thơm sữa ngọt. Dãy đất hiền chim hót. Mái nhà xinh kề nhau. Anh cho em mùa xuân. Đường hoa vào phố nhỏ. Nhạc chan hòa đây đó. Tình yêu non nước này. Bài thơ còn xao xuyến. Rung nắng vàng ban mai. Anh cho em mùa xuân. Nhạc thơ tràn muôn lối
Mùa Xuân Gọi,Trường Kha,Mùa xuân nói với em câu gì?. Mà sao mắt em vui thế?. Tình yêu nói với em câu gì?. Mà sao tôi thấy em bâng khuâng. Mẹ ơi sáng nay xuân về. Mẹ trông ra ngoài hiên nắng. Mẹ mong đứa con xa nhà. Rồi mùa xuân anh ấy sẽ về. Mùa xuân hát trên cánh đồng. Gọi màu xanh đến vô cùng. Mùa xuân hát trong nắng vàng. Gọi trời cao gió xôn xao. Mùa xuân hát trong mắt người. Gọi niềm vui đến mỗi ngày. Mùa xuân hát trên môi cười. Gọi tình yêu mãi ban đầu. Mùa xuân nói với em câu gì?. Mà sao mắt em vui thế?. Tình yêu nói với em câu gì?. Mà sao tôi thấy em bâng khuâng. Mẹ ơi sáng nay xuân về. Mẹ trông ra ngoài hiên nắng. Mẹ mong đứa con xa nhà. Rồi mùa xuân anh ấy sẽ về. Mùa xuân hát trên cánh đồng. Gọi màu xanh đến vô cùng. Mùa xuân hát trong nắng vàng. Gọi trời cao gió xôn xao. Mùa xuân hát trong mắt người. Gọi niềm vui đến mỗi ngày. Mùa xuân hát trên môi cười. Gọi tình yêu mãi ban đầu. Mùa xuân hát trên cánh đồng. Gọi màu xanh đến vô cùng. Mùa xuân hát trong nắng vàng. Gọi trời cao gió xôn xao. Mùa xuân hát trong mắt người. Gọi niềm vui đến mỗi ngày. Mùa xuân hát trên môi cười. Gọi tình yêu mãi ban đầu. Mùa xuân hát trên môi cười. Gọi tình yêu mãi ban đầu
Bên Em Mùa Xuân,Lam Trường,Nhịp bước nhịp bước. Trên hè phố rộn ràng. Hoa thắm hoa thắm. Hương mùa Xuân dịu dàng. Xa mây trời một màu xanh. Em tươi cười và cùng anh. Đón.... Xuân ...về.. Giọt sương mai long lanh thế. Lòng ai bâng khuâng vai kề.. Trong nắng xuân mới. Áo hoa rực rỡ lụa mềm. Là dáng em đó. Hay nàng tiên ngoài thềm. Em nghe xuân lời tơ vương. Anh nghe em lời yêu thương. Ngất.... Ngây... lòng. Mình vui lên đi em hỡi. Anh yêu em trọn đời!. Mùa Xuân là tiếng. Hát em bên anh. Mùa Xuân là những. Ước mơ ngày xanh. Mùa Xuân hồng thắm. Má em hoa đào. Mùa Xuân là ánh. Mắt ai vừa trao!. Tình yêu vừa chớm. Với em tóc thề. Lời yêu người nói với em. Còn say mê. Cầm tay cùng bước. Dáng em yêu kiều. Bờ môi hàm tiếu. Hé nở chiếc hôn đầu tiên. Nhịp bước nhịp bước. Trên hè phố rộn ràng. Hoa thắm hoa thắm. Hương mùa Xuân dịu dàng. Xa mây trời một màu xanh. Em tươi cười và cùng anh. Đón.... Xuân ...về.. Giọt sương mai long lanh thế. Lòng ai bâng khuâng vai kề.. Trong nắng xuân mới. Áo hoa rực rỡ lụa mềm. Là dáng em đó. Hay nàng tiên ngoài thềm. Em nghe xuân lời tơ vương. Anh nghe em lời yêu thương. Ngất.... Ngây... lòng. Mình vui lên đi em hỡi. Anh yêu em trọn đời!. Mùa Xuân là tiếng. Hát em bên anh. Mùa Xuân là những. Ước mơ ngày xanh. Mùa Xuân hồng thắm. Má em hoa đào. Mùa Xuân là ánh. Mắt ai vừa trao!. Tình yêu vừa chớm. Với em tóc thề. Lời yêu người nói với em. Còn say mê. Cầm tay cùng bước. Dáng em yêu kiều. Bờ môi hàm tiếu. Hé nở chiếc hôn đầu tiên. Tình yêu vừa chớm. Với em tóc thề. Lời yêu người nói với em. Còn say mê. Cầm tay cùng bước. Dáng em yêu kiều. Bờ môi hàm tiếu. Hé nở. Chiếc hôn đầu tiên
Yêu Mùa Xuân,Lạc Thiên,Cánh bướm bay lượn. Chào một mùa xuân. Yêu thương đắm say. Tết đến sum vầy. Cánh hoa đào. Xinh lung linh trong nắng. Kính chúc ông bà. Cha mẹ cùng bao trẻ thơ dễ thương. Tết đến tài lộc. Tiếng cười rộn vang. Bên nhau mùa xuân. Tết vui đã đến. Cùng say trong yêu thương. Bao đôi uyên ương. Hẹn ước mãi mãi. Say mê trong bao khúc hát. Ôi hạnh phúc. Ngàn hoa mai rực rỡ trên đường phố. Giữa đông vui ngày xuân. Nhà nhà luôn cười vui đón tất niên. Quây quần êm ấm. Mong sao xuân sang. No ấm nơi nơi. Mong cho yêu thương. Tràn khắp đất trời. Trong tim ai cũng thắm tươi. Yêu mùa xuân. Cánh bướm bay lượn. Chào một mùa xuân. Yêu thương đắm say. Tết đến sum vầy. Cánh hoa đào. Xinh lung linh trong nắng. Kính chúc ông bà. Cha mẹ cùng bao trẻ thơ dễ thương. Tết đến tài lộc. Tiếng cười rộn vang. Bên nhau mùa xuân. Tết vui đã đến. Cùng say trong yêu thương. Bao đôi uyên ương. Hẹn ước mãi mãi. Say mê trong bao khúc hát. Ôi hạnh phúc. Ngàn hoa mai rực rỡ trên đường phố. Giữa đông vui ngày xuân. Nhà nhà luôn cười vui đón tất niên. Quây quần êm ấm. Mong sao xuân sang. No ấm nơi nơi. Mong cho yêu thương. Tràn khắp đất trời. Trong tim ai cũng thắm tươi. Yêu mùa xuân. Ngàn hoa mai rực rỡ trên đường phố. Giữa đông vui ngày xuân. Nhà nhà luôn cười vui đón tất niên. Quây quần êm ấm. Mong sao xuân sang. No ấm nơi nơi. Mong cho yêu thương. Tràn khắp đất trời. Trong tim ai cũng thắm tươi. Yêu mùa xuân
Nhạc Xuân,Trần Hoàng Anh,"Ngoài đồng vàng lúa. Giọt sương trong nắng mai. Phố xá thật đông vui. Đàn trẻ nô nức đùa. Muôn hoa rực rỡ khắp nơi. Tô mùa xuân hồng. Xuân nay cũng đã về. Nào ta hay vui ca. Đàn diều tung cánh. Chở theo bao ước mơ. Cơn gió mùa xuân sang. Thổi tan bao nỗi buồn. Rưng rưng làn mây. Thấy tóc cha đã bạc theo mùa. Con sông mấy khúc. Hẹn nhau chảy về nguồn. 1,2,3 ta cùng nhau nâng ly. Nhịp đôi chân nhảy lắc lư. Hòa theo điệu nhạc.. Hát ca bên nhau cho. Tình xuân kết chặt yêu thương.. Mong xuân luôn yên bình. Về trên muôn phương..... Lòng người như mở rộng. Thêm trong kết giao.. Câu chúc chào nhau. ""Một năm luôn phát tài"".. Mong cho mùa xuân. Khắp thế gian. Không còn u hoài.. Ca vang những khát vọng. Dệt lên khúc ca xuân.. Muộn phiền năm cũ. Hãy để gió cuốn đi.. Hãy góp lời ca. Cho tình yêu non nước này. Cho đôi tình nhân. Sẽ sánh duyên. ""Long phụng sum vầy"". Nâng ly nữa chúc mừng. ""1,2,3 dzô"". 1,2,3 ta cùng nhau nâng ly lên.. Nhịp đôi chân nhảy lắc lư. Hòa theo điệu nhạc.. Hát ca bên nhau cho. Tình xuân kết chặt yêu thương.. Mong xuân luôn yên bình. Về trên muôn phương. 1,2,3 ta cùng nhau nâng ly. Nhịp đôi chân nhảy lắc lư. Hòa theo điệu nhạc.. Hát ca bên nhau cho. Tình xuân kết chặt yêu thương.. Mong xuân luôn yên bình. Về trên muôn phương..... 1,2,3 ta cùng nhau nâng ly lên. Nhịp đôi chân nhảy lắc lư. Hòa theo điệu nhạc.. Hát ca bên nhau cho. Tình xuân kết chặt yêu thương.. Mong xuân luôn yên bình. Về trên muôn phương...."
Mùa Xuân Đó Có Em,Lưu Chí Vỹ,Nếu chiều nay. Lỗi hẹn không về. Thì xuân năm nay. Xuân sẽ buồn. Sẽ buồn hơn. Mấy cội mai già. Và mùa xuân. Quên mặc áo mới. Hẹn hò xa xưa. Còn nguyên tất cả. Dành cho em. Tình yêu rất lạ. Dù sao anh cũng về. Mộng xưa đã chín đỏ. Bàn tay nâng niu hoa cúc. Bàn tay hiu hắt. Giọt lệ sầu. Em có nghe. Trời vào xuân chưa. Bên sông từng giọt nắng chiều. Chợt lưa thưa. Và mùa xuân đó. Có em thì xuân rất đẹp. Anh không biết. Xuân về lúc nào. Lời tình đong đưa theo gió. Mình yêu nhau. Mấy tuổi xuân rồi. Nếu. Nếu chiều nay. Lỗi hẹn không về. Thì xuân năm nay. Xuân sẽ buồn. Sẽ buồn hơn. Mấy cội mai già. Và mùa xuân. Quên mặc áo mới. Hẹn hò xa xưa. Còn nguyên tất cả. Dành cho em. Tình yêu rất lạ. Dù sao anh cũng về. Mộng xưa đã chín đỏ. Bàn tay nâng niu hoa cúc. Bàn tay hiu hắt. Giọt lệ sầu. Em có nghe. Trời vào xuân chưa. Bên sông từng giọt nắng chiều. Chợt lưa thưa. Và mùa xuân đó. Có em thì xuân rất đẹp. Anh không biết. Xuân về lúc nào. Lời tình đong đưa theo gió. Mình yêu nhau. Mấy tuổi xuân rồi. Lời tình đong đưa theo gió. Mình yêu nhau. Mấy tuổi xuân rồi. Lời tình đong đưa theo gió. Mình yêu nhau. Mấy tuổi xuân rồi
Mùa Xuân Lá Khô,Quang Thắng,Bài Hát: Mùa Xuân Lá Khô. Ca Sĩ: Quang Thắng. Tôi trở lại vùng hành quân. Vùng xa xôi đá sỏi biết buồn. Ba tháng hậu phương yên bình. Tuy vết thương chưa lành hẳn. Tôi lại đi giữa lạnh sang đông. Đời tôi chinh chiến lâu năm. Yêu lúc băng rừng. Như mộng tình nhân. Kiếp chúng tôi. Như kiếp sông dài. Trôi đi miệt mài. Nào ai biết cho ai. Tôi đến đơn vị lại đi. Nhọc hơi đâu. Đếm mỏi tháng ngày. Khi cánh dù mang tin lại. Những lá thư xinh hậu tuyến. Tôi ngẩn ngơ biết mùa xuân sang. Ở đây không có hoa mai. Không có hoa đào. Trang điểm trần ai. Những lá khô rơi xuống âm thầm. Như trong một chiều. Lòng tôi biết yêu ai. Em tôi không đẹp như người tưởng. Không áo xanh áo đỏ thơm hương. Quen trên đường chiều lá khô rơi. Ôi ngọc ngà giây phút chung đôi. Lá ơi rơi chi. Trên dòng suối chờ. Cho tình cờ anh lính làm thơ. Lời thơ êm như hơi thở. Khi em nguyện chờ. Một người về xa. Tôi đã quen rồi. Chuyện đi và quen. Xa ánh đèn phố thị. Nên dẫu mùa xuân. Đơn vị không bánh ngon. Không rượu quý. Tôi nào nghe thấy lạnh trong tôi. Chỉ thương em gái quê hương. Trong nắng xuân hồng. Thiếu hẳn người thương. Em hỡi em khi chiến chinh dài. Xa nhau từng ngày. Và xa cả xuân nay. Em tôi không đẹp như người tưởng. Không áo xanh áo đỏ thơm hương. Quen trên đường chiều lá khô rơi. Ôi ngọc ngà giây phút chung đôi. Lá ơi rơi chi. Trên dòng suối chờ. Cho tình cờ anh lính làm thơ. Lời thơ êm như hơi thở. Khi em nguyện chờ. Một người về xa. Tôi đã quen rồi. Chuyện đi và quen. Xa ánh đèn phố thị. Nên dẫu mùa xuân. Đơn vị không bánh ngon. Không rượu quý. Tôi nào nghe thấy lạnh trong tôi. Chỉ thương em gái quê hương. Trong nắng xuân hồng. Thiếu hẳn người thương. Em hỡi em khi chiến chinh dài. Xa nhau từng ngày. Và xa cả xuân nay. Em hỡi em khi chiến chinh dài. Xa nhau từng ngày. Và xa cả xuân nay. Em hỡi em khi chiến chinh dài. Xa nhau từng ngày. Và xa cả xuân nay
Lạc Mất Mùa Xuân,Bằng Kiều,"Dìu em đến đem cho đời anh thôi hoang vắng. Tim ta say đắm đã yêu em trong cuộc tình. Dòng tháng năm đó đã cho tình yêu em tha thiết. Những ái ân để phôi pha. Đành hỡi đuyên kiếp em bước đi trong chiều mưa rơi. Lặng đứng trên bến anh với trông thuyền ra khơi. Những tháng năm đếm lá theo mùa thu chết. Những thu chết. Xuân về cho cây xanh lá,. có riêng mình anh, lạc mất mùa xuân. Đêm đêm nằm nghe hồn bâng khuâng,. Bên song anh trông đầu non trăng xế. Thương bèo trôi theo sông nước. biết bây giờ em lạc bước về đâu. Tương tư về thương đôi mắt nâu. Đêm đêm tìm trong màn tối muôn sao. Ngồi suốt canh vắng lãng quên sầu thương trong men đắng. Cơn say mê đắm sóng dâng cao ngọn thủy triều. Rồi thấy thấp thoáng bóng em về chìm trong đáy cốc. Đôi mắt ưu buồn thiên thu. Rồi nắng mai đến mây trắng bay khi tàn cơn say. Tình đã xa vắng nỗi nhớ vẫn còn đâu đây. Những tháng năm đến lá theo mùa thu chết. Những thu chết. Xuân về cho cây xanh lá,. cớ sao tình ta chỉ có mùa thu. Đêm đêm nằm nghe hồn tương tư. Bên song đầu non tàn canh bóng xế. Thương bèo trôi theo muôn hướng. biết bây giờ em lạc bước về đâu. Em ơi, chờ em đến kiếp nao?. Xin cho ngày sau, mình mãi bên nhau.. Ngồi suốt canh vắng lãng quên sầu thương trong men đắng. Cơn say mê đắm sóng dâng cao ngọn thủy triều. Rồi thấy thấp thoáng bóng em về chìm trong đáy cốc. Đôi mắt ưu buồn thiên thu. Rồi nắng mai đến mây trắng bay khi tàn cơn say. Tình đã xa vắng nỗi nhớ vẫn còn đâu đây. Những tháng năm đến lá theo mùa thu chết. Những thu chết. Xuân về cho cây xanh lá,. cớ sao tình ta chỉ có mùa thu. Đêm đêm nằm nghe hồn tương tư. Bên song đầu non tàn canh bóng xế. Thương bèo trôi theo muôn hướng. biết bây giờ em lạc bước về đâu. Em ơi, chờ em đến kiếp nao?. Xin cho ngày sau, mình mãi bên nhau."
Em Là Mùa Xuân,Jimmii Nguyễn,Bài Hát: Em Là Mùa Xuân. Ca Sĩ: Jimmii Nguyễn. Em mùa xuân của bầu trời. Em tình yêu của cuộc đời. Em là tia nắng. Ấm nơi nơi. Em chim xanh giữa trời mây. Em màu xanh của cỏ cây. Em tương lai quê hương. Đẹp biết mấy. Em làm tôi phải thẫn thờ. Em làm tôi phải ngẩn ngơ. Em làm tôi. Nhớ quá nên mơ. Em mai vàng của tuổi thơ. Em hoa đào của mộng mơ. Em là mùa xuân. Tôi mãi đợi chờ. Em làm tôi phải thẫn thờ. Em làm tôi phải ngẩn ngơ. Em làm tôi. Nhớ quá nên mơ. Em mai vàng của tuổi thơ. Em hoa đào của mộng mơ. Em là mùa xuân. Tôi mãi đợi chờ. Biết đến khi nào. Mình sẽ có nhau. Trong cuộc đời. Này em em về đâu. Cho mùa đông thôi giá băng. Biết đến khi nào. Mình cùng nhau. Bước giữa phố đông người. Giờ đây nghe quạnh hiu. Tôi chờ em tôi nhớ em. Nhớ về em trong những lúc. Cô đơn trở về. Nhớ về em nhớ ánh mắt. Môi cười thơ ngây. Nhớ về em trong tiếc nuối. Nhớ thương mong chờ. Trở về chốn xưa. Trọn cả suốt đời này. Ta vẫn thương nhớ về em. Em làm tôi phải thẫn thờ. Em làm tôi phải ngẩn ngơ. Em làm tôi. Nhớ quá nên mơ. Em mai vàng của tuổi thơ. Em hoa đào của mộng mơ. Em là mùa xuân. Tôi mãi đợi chờ. Biết đến khi nào. Mình sẽ có nhau. Trong cuộc đời. Này em em về đâu. Cho mùa đông thôi giá băng. Biết đến khi nào. Mình cùng nhau. Bước giữa phố đông người. Giờ đây nghe quạnh hiu. Tôi chờ em tôi nhớ em. Biết đến khi nào. Mình cùng nhau. Bước giữa phố đông người. Giờ đây nghe quạnh hiu. Tôi chờ em ôi mùa xuân
Tình Ca Mùa Xuân,Tân Nhàn,Tình Ca Mùa Xuân. Tân Nhàn. em ơi em mùa xuân. đã về trên cành lá. tiếng chim kêu ngọt quá. giữa trời xanh xanh thẳm. mùi hương nào rất quen. nghe như làn môi ấm. nghe đâu từ sâu thẳm. đất chuyển mình sinh sôi. trong ánh mắt em cười. có màu xanh khoai sắn. trong vòng tay xinh xắn. ôm hình dòng kênh xa. mùa xuân về em ơi. cơn mưa đầu mát lạ. mùa xuân về em ơi. nắng mới đã bay về. và chúng mình yêu. nhau bắt đầu từ độ ấy. em đi vào xưởng máy. khi trời còn hơi sương. và anh lại ra đi. vui như ngày hội. mùa xuân biên giới. súng anh gác trời xa. nghe không anh mùa xuân. về cùng tin chiến thắng. xóm vui trong mùa nắng. như gọi đồng chín vàng. ngày anh đi cách xa. quên sao được nỗi nhớ. thương nhau dù cách trở. giữ trọn đời tin nhau. trên chiến tuyến diệt thù. có bàn tay anh chắc. nơi hậu phương xa lắc. vững vàng bàn tay em. mùa xuân rồi đi qua. cơn mưa hè hối hả. tình ta càng thêm sâu. như những chiếc hôn đầu. và chúng mình yêu. nhau bắt đầu từ độ ấy. em đi vào xưởng máy. khi trời còn hơi sương. và anh lại ra đi. vui như ngày hội. mùa xuân biên giới. súng anh gác trời xa. và chúng mình yêu. nhau bắt đầu từ độ ấy. em đi vào xưởng máy. khi trời còn hơi sương. và anh lại ra đi. vui như ngày hội. mùa xuân biên giới. súng anh gác trời xa. mùa xuân biên giới. súng anh gác trời xa
Điệu Nhạc Xuân,Thanh Thảo,Ðiệu nhạc vui bừng lên. Mừng xuân vừa sang. Có vòng tay của anh. Và muôn lời ca. Như mừng xuân. Mừng em xinh đẹp kiêu xa. Ðẹp như đóa. Mai hé tươi màu xuân thắm. Mùa xuân mang. Tình yêu của anh và em. Hát bài ca. Tình yêu tình yêu mùa xuân. Ôm mùa xuân. Và em đi về nơi xa. Cùng nhau hát với em. Giữa đêm vui này. Ca lên đi câu tình ái. Trong đêm nay. Tay trong tay. Ta cùng múa cho vui say. Vai bên vai. Chân cùng lướt theo Samba. Hôn nhau đi. Câu nhạc vui thiết tha. Tình mùa xuân dành cho. Dành cho tình yêu. Ðã vì em mộng mơ. Làm thơ buồn hiu. Em làm ngơ. Là thơ anh càng liu xiu. Và anh biết. Em sẽ yêu mình anh thôi. Thì em ơi. Nhạc vui bừng lên rồi đây. Chúc mừng em. Mừng xuân đẹp tươi ngày mai. Ôi nàng tiên. Nàng xuân anh hoài thương yêu. Ðể anh viết. Khúc ca nhớ nhung thật nhiều. Em xinh tươi. Trong màu áo xuân thênh thang. Em bay qua. Trong ngàn trái tim lang thang. Tim cô đơn. Chung tình nhất tim anh thôi. Em cho anh. Bao mùa xuân ước mơ.. Tình mùa xuân dành cho. Dành cho tình yêu. Ðã vì em mộng mơ. Làm thơ buồn hiu. Em làm ngơ. Là thơ anh càng liu xiu. Và anh biết em. Sẽ yêu mình anh thôi. Vì em ơi. Nhạc vui bừng lên rồi đây. Chúc mừng em. Mừng xuân càng tươi ngày mai. Ôi nàng tiên. Nàng xuân anh hoài thương yêu. Ðể anh viết. Khúc ca nhớ nhung thật nhiều. Ca lên đi câu tình ái. Trong đêm nay. Tay trong tay. Ta cùng múa cho vui say. Vai bên vai. Chân cùng lướt theo Samba. Hôn nhau đi. Câu nhạc vui thiết tha. Tình mùa xuân dành cho. Dành cho tình yêu. Ðã vì em mộng mơ. Làm thơ buồn hiu. Em làm ngơ. Là thơ anh càng liu xiu. Và anh biết em. Sẽ yêu mình anh thôi. Thì em ơi. Nhạc vui bừng lên rồi đây. Chúc mừng em. Mừng xuân đẹp tươi ngày mai. Ôi nàng tiên. Nàng xuân anh hoài thương yêu. Ðể anh viết. Khúc ca...... Nhớ nhung thật nhiều. Ca lên đi câu tình ái. Trong đêm nay. Tay trong tay. Ta cùng múa cho vui say. Vai bên vai. Chân cùng lướt theo Samba. Hôn nhau đi. Câu nhạc vui thiết tha. Tình mùa xuân dành cho. Dành cho tình yêu. Ðã vì em mộng mơ. Làm thơ buồn hiu. Em làm ngơ. Là thơ anh càng liu xiu. Và anh biết em. Sẽ yêu mình anh thôi. Thì em ơi. Nhạc vui bừng lên rồi đây. Chúc mừng em. Mừng xuân đẹp tươi ngày mai. Ôi nàng tiên. Nàng xuân anh hoài thương yêu. Ðể anh viết. Khúc ca...... Nhớ nhung thật nhiều
Cơn Mưa Tuổi Thanh Xuân,A.C Xuân Tài,Cơn mưa ùa về từng hạt ướt. Bay theo những đoạn đường. Xuyên qua màn mưa. Học trò tiễn nhau chia xa mái trường. Cô nữ sinh nhìn mưa thầm ước. Đâu biết tôi đằng sau cứ ngó nghiêng. Như muốn nói điều gì còn dở dang. Sao quên ngày nao. Thuở còn nghĩ suy vu vơ dại khờ. Mỗi sáng đến lớp. Tìm hình bóng ai cứ thế mong chờ. Có chút thương ẩn vào trang sách. Có những nỗi niềm chẳng thể nói ra. Thời gian trôi làm sao níu giữ. Phải chăng giọt mưa ngâu là lần cuối. Của khoảng thời gian trong veo xa rồi. Một thời của những rung động bồi hồi. Tuổi xuân nơi anh có em chung đôi. Khoảnh khắc gần nhau. Anh chưa từng nói. Từng lời mà tim anh luôn khắc sâu. Tiếng em cười đã đi xa rồi. Tôi ơi dại khờ. Thời gian cứ đi không sao tìm lại. Phân vân làm chi. Để năm tháng qua cơn mơ thêm dài. Trót nhớ thương để rồi xa mãi. Trên chuyến xe cuộc đời. Vụt mất nhau như bong bóng. Tan theo những giọt mưa. Nếu như ngày ấy anh không lặng im. Chẳng để thời gian trôi qua vội vàng. Liệu rằng người đi hay sẽ dừng lại. Hoàng hôn buông xuống. Sánh đôi bên ai. Một mai gặp nhau có ai còn nhớ. Kỷ niệm ngày xưa bên nhau dưới mưa. Khúc ca này những tâm tư này. Đi về đâu hỡi những ước hẹn. Những cái xoa đầu. Những nụ cười bẽn lẽn. Giọt mưa rơi mang theo nhớ thương. Chẳng còn những phút. Bên nhau lúc tan trường. Tìm nơi đâu những kỷ niệm bé con. Nếu như ngày ấy anh không lặng im. Chẳng để thời gian trôi qua vội vàng. Liệu rằng người đi hay sẽ dừng lại. Hoàng hôn buông xuống. Sánh đôi cùng ai. Một mai gặp nhau có ai còn nhớ. Kỷ niệm ngày xưa bên nhau dưới mưa. Khúc ca này những tâm tư này. Đi về đâu. Cơn mưa năm xưa vẫn nhớ. Tháng năm tình đã đến say
Mùa Xuân Của Mẹ,"Khánh Bình, Lê Sang, Phú Quý",Mẹ ơi. Hoa Cúc hoa Mai nở rồi. Giờ đây. Đời con đang còn lênh đênh. Đèo cao gió lộng ngày đêm bạt ngàn. Áo trận sờn vài bạc màu. Nhìn xuân về. Lòng buồn mênh mang. Ngày đi. Con hứa xuân sau sẽ về. Mà nay. Đã bao xuân rồi trôi qua. Giờ đây. Chắc mẹ già tóc bạc nhiều. Sớm chiều vườn rau vườn cà. Mẹ biết nhờ cậy vào tay ai. Đêm nay. Núi rừng gió nhẹ sang xuân. Thoáng mùi Mai nở đâu đây. Nghe lòng lạc loài chơi vơi. Khi xưa. Những ngày binh lửa chưa sang. Bếp hồng quây quần bên nhau. Nghe mẹ kể chuyện đời xưa. Mẹ ơi. Con hứa con sẽ trở về. Dù cho. Dù cho xuân này đi qua. Dù cho. Én từng bầy bay về ngàn. Dẫu gì rồi con cũng về. Chỉ bên mẹ là mùa xuân thôi. Đêm nay. Núi rừng gió nhẹ sang xuân. Thoáng mùi Mai nở đâu đây. Nghe lòng lạc loài chơi vơi. Khi xưa. Những ngày binh lửa chưa sang. Bếp hồng quây quần bên nhau. Nghe mẹ kể chuyện đời xưa. Mẹ ơi. Con hứa con sẽ trở về. Dù cho. Dù cho xuân đã đi qua. Dù cho. Én từng bầy bay về ngàn. Dẫu gì rồi con cũng về. Chỉ bên mẹ là mùa xuân thôi. Dù cho. Én từng bầy bay về ngàn. Dẫu gì rồi con cũng về. Chỉ bên mẹ là mùa xuân thôi
